# ZScaler Web Proxy Log - Incident Scenario - 2024-01-16
# Format: timestamp|action|login|dept|cip|sip|srv_dport|proto|url|urlcat|urlsupercat|urlclass|bytes_sent|bytes_received|riskscore|threatseverity|threatname|malwarecat|malwareclass|srcip_country|dstip_country|is_dst_cntry_risky|srvtlsversion|srvcertvalidationtype|is_sslselfsigned|is_sslexpiredca|bwthrottle|bwclassname
2024-01-16 08:43:01|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|45.33.32.156|443|HTTPS|pastebin.com|Data Loss|Security|Privacy Risk|20971520|256|78|High|DLP.SensitiveData|None|None|United States|United States|No|TLS1_3|OV|No|No|Yes|General Surfing
2024-01-16 08:43:30|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|45.33.32.156|443|HTTPS|pastebin.com|Data Loss|Security|Privacy Risk|31457280|128|78|High|DLP.SensitiveData|None|None|United States|United States|No|TLS1_3|OV|No|No|Yes|General Surfing
2024-01-16 08:45:22|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|17.253.144.10|443|HTTPS|apple.com|Technology|Information Technology|General Surfing|256|1024|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
2024-01-16 08:48:55|ALLOW|sbrown@acmecorp.com|HR|192.168.1.104|54.230.12.56|443|HTTPS|linkedin.com|Social Media|Social Networks|General Surfing|512|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
# --- ANOMALY: Data center server errors - consecutive 500s on gateway ---
2024-01-16 08:55:45|ALLOW|datacenter-svc@acmecorp.com|IT|10.0.0.1|10.0.0.254|443|HTTPS|internal-dc-gateway|Network Infrastructure|Network|Office Apps|128|0|45|Low|Server.Error|None|None|United States|United States|No|TLS1_2|OV|No|No|No|Office Apps
2024-01-16 08:55:46|ALLOW|datacenter-svc@acmecorp.com|IT|10.0.0.1|10.0.0.254|443|HTTPS|internal-dc-gateway|Network Infrastructure|Network|Office Apps|128|0|45|Low|Server.Error|None|None|United States|United States|No|TLS1_2|OV|No|No|No|Office Apps
2024-01-16 08:55:47|ALLOW|datacenter-svc@acmecorp.com|IT|10.0.0.1|10.0.0.254|443|HTTPS|internal-dc-gateway|Network Infrastructure|Network|Office Apps|128|0|45|Low|Server.Error|None|None|United States|United States|No|TLS1_2|OV|No|No|No|Office Apps
2024-01-16 08:55:48|ALLOW|datacenter-svc@acmecorp.com|IT|10.0.0.1|10.0.0.254|443|HTTPS|internal-dc-gateway|Network Infrastructure|Network|Office Apps|128|0|45|Low|Server.Error|None|None|United States|United States|No|TLS1_2|OV|No|No|No|Office Apps
2024-01-16 08:55:49|ALLOW|datacenter-svc@acmecorp.com|IT|10.0.0.1|10.0.0.254|443|HTTPS|internal-dc-gateway|Network Infrastructure|Network|Office Apps|128|0|45|Low|Server.Error|None|None|United States|United States|No|TLS1_2|OV|No|No|No|Office Apps
2024-01-16 08:58:33|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|13.107.42.14|443|HTTPS|microsoft.com|Technology|Information Technology|General Surfing|512|3072|1|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
# --- ANOMALY: Brute force against policy server ---
2024-01-16 09:08:44|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:08:52|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:09:01|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:09:10|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:09:18|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:09:27|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:09:35|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:09:44|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.10|443|HTTPS|policy-server-01|Network Infrastructure|Network|Privacy Risk|64|0|88|High|Auth.BruteForce|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:11:22|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|104.16.12.34|443|HTTPS|notion.so|Productivity|Productivity|Office Apps|512|2048|3|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|Office Apps
2024-01-16 09:15:03|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|151.101.1.140|443|HTTPS|stackoverflow.com|Technology|Information Technology|General Surfing|256|8192|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|General Surfing
# --- ANOMALY: C2 beacon - regular intervals to known malicious IP in risky country ---
2024-01-16 09:25:30|ALLOW|unknown@acmecorp.com|Unknown|192.168.1.200|198.51.100.55|443|HTTPS|c2-server-malicious.io|Spyware Callback|Security|Privacy Risk|8192|4096|99|Critical|C2.Beacon|Trojan|Sandbox|United States|Iran|Yes|TLS1_2|DV|Yes|No|No|General Surfing
2024-01-16 09:25:45|ALLOW|unknown@acmecorp.com|Unknown|192.168.1.200|198.51.100.55|443|HTTPS|c2-server-malicious.io|Spyware Callback|Security|Privacy Risk|8192|4096|99|Critical|C2.Beacon|Trojan|Sandbox|United States|Iran|Yes|TLS1_2|DV|Yes|No|No|General Surfing
2024-01-16 09:26:00|ALLOW|unknown@acmecorp.com|Unknown|192.168.1.200|198.51.100.55|443|HTTPS|c2-server-malicious.io|Spyware Callback|Security|Privacy Risk|8192|4096|99|Critical|C2.Beacon|Trojan|Sandbox|United States|Iran|Yes|TLS1_2|DV|Yes|No|No|General Surfing
2024-01-16 09:28:19|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|54.230.12.56|443|HTTPS|amazon.com|Shopping|Shopping|General Surfing|256|2048|4|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
2024-01-16 09:31:55|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|185.199.108.153|443|HTTPS|github.com|Technology|Information Technology|General Surfing|128|1024|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|General Surfing
# --- ANOMALY: Unauthorized data center access from rogue device ---
2024-01-16 09:42:33|ALLOW|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.50|443|HTTPS|datacenter-core-01|Network Infrastructure|Network|Privacy Risk|131072|65536|91|Critical|Unauthorized.Access|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:43:01|ALLOW|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.51|443|HTTPS|datacenter-core-02|Network Infrastructure|Network|Privacy Risk|262144|131072|91|Critical|Unauthorized.Access|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:43:30|ALLOW|unknown@acmecorp.com|Unknown|192.168.1.200|10.0.0.52|443|HTTPS|datacenter-core-03|Network Infrastructure|Network|Privacy Risk|524288|262144|91|Critical|Unauthorized.Access|None|None|United States|United States|No|TLS1_2|OV|No|No|No|General Surfing
2024-01-16 09:45:22|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|52.84.12.34|443|HTTPS|zoom.us|Collaboration|Productivity|Office Apps|1024|8192|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 09:48:55|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|104.16.12.34|443|HTTPS|figma.com|Productivity|Productivity|Office Apps|512|4096|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|Office Apps
# --- ANOMALY: Mass exfiltration - Sales user uploading hundreds of MB to external dump site ---
2024-01-16 10:02:11|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|185.220.101.45|443|HTTPS|data-dump-external.com|Data Loss|Security|Privacy Risk|104857600|512|96|Critical|DLP.MassExfiltration|None|None|United States|Romania|Yes|TLS1_2|DV|Yes|No|Yes|General Surfing
2024-01-16 10:02:45|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|185.220.101.45|443|HTTPS|data-dump-external.com|Data Loss|Security|Privacy Risk|209715200|256|96|Critical|DLP.MassExfiltration|None|None|United States|Romania|Yes|TLS1_2|DV|Yes|No|Yes|General Surfing
2024-01-16 10:03:20|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|185.220.101.45|443|HTTPS|data-dump-external.com|Data Loss|Security|Privacy Risk|314572800|128|96|Critical|DLP.MassExfiltration|None|None|United States|Romania|Yes|TLS1_2|DV|Yes|No|Yes|General Surfing
2024-01-16 10:05:30|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|54.230.12.56|443|HTTPS|salesforce.com|Business|Business|Office Apps|256|3072|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 10:08:44|ALLOW|sbrown@acmecorp.com|HR|192.168.1.104|185.199.108.153|443|HTTPS|github.com|Technology|Information Technology|General Surfing|512|1024|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|General Surfing
2024-01-16 10:11:22|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|142.250.80.46|443|HTTPS|drive.google.com|Cloud Storage|Productivity|Office Apps|256|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 10:15:03|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|13.107.42.14|443|HTTPS|teams.microsoft.com|Collaboration|Productivity|Office Apps|128|4096|1|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
